dataset_name,TS-QUAD,EE,EE$^+$,EE$_{PF2}$,1NN-ADTW$^+$,ProximityForest$^+$,ProximityForest 1.0,ProximityForest 2.0
Meat,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332
MedicalImages,0.743421052631579,0.7460526315789474,0.7486842105263158,0.7644736842105263,0.7552631578947369,0.775,0.7578947368421053,0.7828947368421053
MiddlePhalanxOutlineAgeGroup,0.5194805194805194,0.538961038961039,0.5324675324675324,0.5,0.512987012987013,0.5909090909090909,0.577922077922078,0.5974025974025974
MiddlePhalanxOutlineCorrect,0.7835051546391752,0.7800687285223368,0.7766323024054983,0.7766323024054983,0.7663230240549829,0.8247422680412371,0.8316151202749141,0.8556701030927835
MiddlePhalanxTW,0.5,0.525974025974026,0.5194805194805194,0.4935064935064935,0.5,0.525974025974026,0.538961038961039,0.5324675324675324
MixedShapesRegularTrain,0.948041237113402,0.9414432989690722,0.936082474226804,0.9748453608247424,0.918762886597938,0.9694845360824742,0.9637113402061857,0.9694845360824742
MixedShapesSmallTrain,0.9030927835051548,0.8952577319587629,0.9002061855670103,0.9385567010309278,0.8672164948453608,0.9348453608247422,0.9290721649484536,0.9381443298969072
MoteStrain,0.8801916932907349,0.8825878594249201,0.9049520766773164,0.9273162939297124,0.8945686900958466,0.922523961661342,0.9049520766773164,0.9249201277955272
NonInvasiveFetalECGThorax1,0.8315521628498728,0.8452926208651399,0.8371501272264631,0.8361323155216285,0.8320610687022901,0.8997455470737914,0.906615776,0.9068702290076336
NonInvasiveFetalECGThorax2,0.8982188295165394,0.9043256997455472,0.8987277353689568,0.9043256997455472,0.8916030534351145,0.9374045801526718,0.939898219,0.9450381679389313
OSULeaf,0.7975206611570248,0.8016528925619835,0.7975206611570248,0.9008264462809916,0.6942148760330579,0.8347107438016529,0.8305785123966942,0.871900826446281
OliveOil,0.8666666666666667,0.8666666666666667,0.9,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9
PhalangesOutlinesCorrect,0.7808857808857809,0.7645687645687645,0.7657342657342657,0.7832167832167832,0.7564102564102564,0.8321678321678322,0.8263403263403264,0.8298368298368298
PigAirwayPressure,0.4759615384615384,0.3028846153846153,0.3028846153846153,0.2596153846153846,0.2692307692307692,0.2788461538461538,0.3173076923076923,0.2403846153846154
PigArtPressure,0.7596153846153846,0.6682692307692307,0.8990384615384616,0.9230769230769232,0.6634615384615384,0.8990384615384616,0.6682692307692307,0.9278846153846154
PigCVP,0.7355769230769231,0.6971153846153846,0.7019230769230769,0.5913461538461539,0.4567307692307692,0.6730769230769231,0.5384615384615384,0.5817307692307693
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PowerCons,0.9722222222222222,0.95,0.9444444444444444,0.9555555555555556,0.9666666666666668,0.9888888888888888,0.9944444444444444,0.9888888888888888
ProximalPhalanxOutlineAgeGroup,0.775609756097561,0.7902439024390244,0.7951219512195122,0.751219512195122,0.7609756097560976,0.8585365853658536,0.8439024390243902,0.848780487804878
ProximalPhalanxOutlineCorrect,0.8281786941580757,0.8144329896907216,0.8109965635738832,0.852233676975945,0.8006872852233677,0.865979381443299,0.865979381443299,0.8797250859106529
ProximalPhalanxTW,0.7317073170731707,0.7560975609756098,0.7658536585365854,0.7414634146341463,0.7560975609756098,0.7609756097560976,0.775609756097561,0.7902439024390244
RefrigerationDevices,0.4666666666666667,0.44,0.52,0.5466666666666666,0.488,0.5573333333333333,0.5493333333333333,0.5466666666666666
Rock,0.74,0.7,0.68,0.78,0.66,0.72,0.64,0.8
ScreenType,0.48,0.456,0.48,0.5066666666666667,0.424,0.5386666666666666,0.464,0.536
SemgHandGenderCh2,0.94,0.9616666666666668,0.9583333333333334,0.9366666666666666,0.9183333333333332,0.9683333333333334,0.97,0.9466666666666668
SemgHandMovementCh2,0.7711111111111111,0.7977777777777778,0.8,0.7022222222222222,0.6155555555555555,0.88,0.8711111111111111,0.8755555555555555
